LISTA DE NOMBRES CORTOS DE GRABACIONES Y SUS TRANSCRIPCIONES
============================================================

PRIMER GRUPO ETARIO (22-34 AÑOS)
---------------------------------
Grabación    | Nombre Corto | Transcripción
GB005a       | Viv-A        | TB005a
GB005b       | Viv-B        | TB005b
GB006        | Cam          | TB006
GB007        | Consejos     | TB007
GB008        | Cotid        | TB008
GB009        | Chisme       | TB009
GB011        | Ciudad       | TB011
GB012        | Hoy          | TB012
GB013        | Coo          | TB013
GB014        | Juclin       | TB014
GB015        | Jumet        | TB015
GB016        | Olimpo       | TB016
GB017        | Gastro       | TB017
GB018        | Macho        | TB018
GB019        | Prof         | TB019
GB020        | Lit          | TB020
GB021        | Jumel        | TB021
GB022        | Hablar       | TB022
GB023        | Series       | TB023

SEGUNDO GRUPO ETARIO (35-54 AÑOS)
----------------------------------
Grabación    | Nombre Corto | Transcripción
GC024        | Juban        | TC024
GC025        | Cap          | TC025
GC026        | Prom         | TC026
GC027        | Hist         | TC027
GC028        | Feria        | TC028
GC029        | Dep          | TC029
GC030        | Disf         | TC030
GC031        | Jutea        | TC031
GC032        | Dat          | TC032
GC033        | Pan          | TC033
GC034        | Am           | TC034
GC035        | Sup          | TC035
GC036        | Jucon        | TC036
GC037        | Trab         | TC037
GC038        | Met          | TC038
GC039        | Disg         | TC039
GC040        | Enf          | TC040
GC041        | Soc          | TC041
GC042        | Pol          | TC042
GC043        | VinA         | TC043
GC044        | VinB         | TC044
GC045        | Deje         | TC045
GC046        | Bar          | TC046
GC047        | Idio         | TC047
GC048        | EduA         | TC048
GC049        | EduB         | TC049
GC050        | Trad         | TC050
GC051        | Ev           | TC051
GC052        | Tel          | TC052
GC053        | Emp          | TC053
GC054        | Inf          | TC054

TERCER GRUPO ETARIO (≥ 55 AÑOS)
--------------------------------
Grabación    | Nombre Corto | Transcripción
GD055        | Jub          | TD055
GD056        | Pas          | TD056
GD057        | Rec          | TD057
GD058        | Car          | TD058
GD059        | Act          | TD059
GD060        | Fot          | TD060
GD061        | SalA         | TD061
GD062        | SalB         | TD062
GD063        | Coc          | TD063
GD064        | Comp         | TD064
GD065        | Prog         | TD065
GD066        | Insp         | TD066
GD067        | Ind          | TD067
GD068        | Para         | TD068
GD069        | Dis          | TD069
GD070        | Pers         | TD070
GD071        | Viaje        | TD071
GD072        | Fin          | TD072
GD073        | Reser        | TD073
GD074        | Inter        | TD074
GD075        | Idio         | TD075
GD076        | Cono         | TD076
GD077        | Med          | TD077
GD078        | Maq          | TD078
GD079        | Pos          | TD079
GD080        | Orga         | TD080
GD081        | Sant         | TD081
GD082        | Club         | TD082
GD083        | Vp           | TD083
GD084        | Cli          | TD084
GD085        | Fam          | TD085
GD086        | Hog          | TD086
GD087        | Alim         | TD087
GD088        | Comd         | TD088
GD089        | Mis          | TD089
GD090        | Luna         | TD090
GD091        | Tar          | TD091
GD092        | Name         | TD092
GD093        | Tem          | TD093
GD094        | An           | TD094
GD095        | Foto         | TD095
GD096        | Tnm          | TD096
GD097        | Arm          | TD097
